organism,antibiotic,count_full,organism_name,antibiotic_name
0,16,72,ACHROMOBACTER XYLOSOXIDANS,Levofloxacin
16,15,72,SERRATIA MARCESCENS,Imipenem
8,1,70,KLEBSIELLA OXYTOCA,Amoxicillin/Clavulanic Acid
11,14,69,MUCOID PSEUDOMONAS AERUGINOSA,Gentamicin
8,18,64,KLEBSIELLA OXYTOCA,Meropenem
2,6,59,CITROBACTER KOSERI,Cefepime
8,8,55,KLEBSIELLA OXYTOCA,Ceftazidime
8,0,55,KLEBSIELLA OXYTOCA,Amikacin
8,12,55,KLEBSIELLA OXYTOCA,Ertapenem
8,26,55,KLEBSIELLA OXYTOCA,Tobramycin
8,25,55,KLEBSIELLA OXYTOCA,Tetracycline
8,7,52,KLEBSIELLA OXYTOCA,Cefoxitin
12,22,49,OTHER,Oxacillin
10,21,48,MORGANELLA MORGANII,Other
17,20,45,STAPH AUREUS {MRSA},Nitrofurantoin
2,21,43,CITROBACTER KOSERI,Other
19,17,29,STREPTOCOCCUS AGALACTIAE (GROUP B),Linezolid
19,9,29,STREPTOCOCCUS AGALACTIAE (GROUP B),Ceftriaxone
8,21,27,KLEBSIELLA OXYTOCA,Other
2,4,25,CITROBACTER KOSERI,Aztreonam
10,4,24,MORGANELLA MORGANII,Aztreonam
8,6,24,KLEBSIELLA OXYTOCA,Cefepime
16,20,23,SERRATIA MARCESCENS,Nitrofurantoin
2,3,23,CITROBACTER KOSERI,Ampicillin/Sulbactam
2,2,23,CITROBACTER KOSERI,Ampicillin
2,19,20,CITROBACTER KOSERI,Moxifloxacin
2,15,20,CITROBACTER KOSERI,Imipenem
10,3,18,MORGANELLA MORGANII,Ampicillin/Sulbactam
10,6,18,MORGANELLA MORGANII,Cefepime
1,4,14,CITROBACTER FREUNDII COMPLEX,Aztreonam
10,19,12,MORGANELLA MORGANII,Moxifloxacin
13,21,11,PROTEUS MIRABILIS,Other
8,3,10,KLEBSIELLA OXYTOCA,Ampicillin/Sulbactam
8,4,9,KLEBSIELLA OXYTOCA,Aztreonam
8,15,9,KLEBSIELLA OXYTOCA,Imipenem
13,15,7,PROTEUS MIRABILIS,Imipenem
0,21,5,ACHROMOBACTER XYLOSOXIDANS,Other
0,9,5,ACHROMOBACTER XYLOSOXIDANS,Ceftriaxone
14,4,5,PROVIDENCIA RETTGERI,Aztreonam
14,3,5,PROVIDENCIA RETTGERI,Ampicillin/Sulbactam
0,3,5,ACHROMOBACTER XYLOSOXIDANS,Ampicillin/Sulbactam
14,6,5,PROVIDENCIA RETTGERI,Cefepime
1,6,4,CITROBACTER FREUNDII COMPLEX,Cefepime
18,20,4,STAPHYLOCOCCUS AUREUS,Nitrofurantoin
3,21,1,COAG NEGATIVE STAPHYLOCOCCUS,Other
3,20,1,COAG NEGATIVE STAPHYLOCOCCUS,Nitrofurantoin
